time,gps_speed(m/s),mm_lon,mm_lat
1675110281185,3.93,-81.830301,28.832648
1675110281252,3.89,-81.8303,28.832646
1675110281318,3.86,-81.8303,28.832644
1675110281385,3.83,-81.830299,28.832642
1675110281452,3.81,-81.830299,28.83264
1675110281518,3.79,-81.830299,28.832638
1675110281585,3.78,-81.830298,28.832637
1675110281652,3.77,-81.830298,28.832635
1675110281718,3.76,-81.830297,28.832633
1675110281785,3.75,-81.830297,28.832631
1675110281852,3.75,-81.830296,28.832629
1675110281918,3.76,-81.830296,28.832627
1675110281985,3.76,-81.830295,28.832623
1675110282052,3.77,-81.830294,28.832618
1675110282118,3.78,-81.830293,28.832613
1675110282185,3.79,-81.830292,28.832608
1675110282252,3.81,-81.830291,28.832603
1675110282318,3.83,-81.830291,28.832599
1675110282385,3.85,-81.830295,28.832595
1675110282452,3.87,-81.830299,28.832591
1675110282518,3.89,-81.830303,28.832588
1675110282585,3.91,-81.830307,28.832584
1675110282652,3.94,-81.830311,28.832581
